Source Name	Characteristics[cell line]	Characteristics[organism part]	Characteristics[disease]	Characteristics[age]	Characteristics[sex]	Characteristics[ethnicity]
Sample 392	IGROV-1	ovary	ovarian carcinoma	47	female	not available
Sample 393	NIH:OVCAR-3	ovary	ovarian adenocarcinoma	not available	female	Caucasian
Sample 394	OV-90	ovary	ovarian papillary serous adenocarcinoma	not available	female	Caucasian
Sample 395	OvCA 432	ovary	ovarian carcinoma	not available	female	not available
Sample 396	PE01	ovary	ovarian adenocarcinoma	not available	not available	not available
Sample 397	DU 145	prostate	prostate carcinoma	69	male	Caucasian
Sample 398	PC-3	prostate	prostate adenocarcinoma	62	male	Caucasian
Sample 399	SW 837	rectum	rectal adenocarcinoma	53	male	Caucasian
Sample 400	SJCRH30	skeletal muscle	rhabdomyosarcoma	17	male	Caucasian
Sample 401	A-431	skin	skin squamous cell carcinoma	85	female	not available
Sample 402	COLO-818	skin	metastatic melanoma	not available	not available	not available
Sample 403	Hs 695T	skin	melanoma	not available	not available	not available
Sample 404	LOX-IMVI	skin	melanoma	not available	not available	not available
Sample 405	MeWo	skin	melanoma	78	male	Caucasian
Sample 406	SNU-216	stomach	gastric carcinoma	46	female	not available
Sample 407	SNU-484	stomach	gastric carcinoma	53	male	not available
Sample 408	SNU-638	stomach	gastric carcinoma	48	male	not available
Sample 409	SNU-668	stomach	gastric carcinoma	68	male	not available
Sample 410	CAL 27	tongue	tongue squamous cell carcinoma	56	male	Caucasian
Sample 411	PE/CA-PJ15	tongue	tongue squamous cell carcinoma	not available	not available	not available
Sample 412	UCSD-242l	skin	melanoma	not available	not available	not available
Sample 413	BFTC-905	urinary bladder	urinary bladder transitional cell carcinoma	51	female	Chinese
Sample 414	HCC1263	colon	colon adenocarcinoma	20	female	African
Sample 415	SW 1417	colon	colon adenocarcinoma	not available	female	Caucasian
Sample 416	Hs 839.T	skin	melanoma	42	female	Caucasian
Sample 417	SK-MEL-24	skin	melanoma	67	male	Caucasian
Sample 418	BICR 31	tongue	tongue squamous cell carcinoma	not available	not available	not available
Sample 419	DOK	tongue	tongue dysplasia	not available	not available	not available
Sample 420	SCC-25	tongue	tongue squamous cell carcinoma	not available	not available	not available
Sample 421	SCC-9	tongue	tongue squamous cell carcinoma	25	male	not available
Sample 422	HCC1162	uterus	uterine adenocarcinoma	not available	not available	not available
Sample 423	MOLP-2	blood	multiple myeloma	55	male	not available
Sample 424	Jurkat, Clone E6-1	blood	acute T cell leukemia	not available	male	not available
Sample 425	143B	bone	osteosarcoma	13	female	Caucasian
Sample 426	MHH-ES-1	bone	Ewing's sarcoma	12	male	Caucasian
Sample 427	ML-2	bone marrow	acute myelogenic leukemia	26	male	not available
Sample 428	A172	brain	glioblastoma	not available	male	not available
Sample 429	Hs 683	brain	glioma	not available	not available	not available
Sample 430	LN-18	brain	glioma	not available	not available	not available
Sample 431	LN-229	brain	glioma	not available	not available	not available
Sample 432	ME-180	cervix	cervical carcinoma	66	female	Caucasian
Sample 433	HCA-7	colon	colon adenocarcinoma	58	female	not available
Sample 434	HT-55	colon	colon carcinoma	not available	not available	not available
Sample 435	LS 180	colon	colon adenocarcinoma	58	female	Caucasian
Sample 436	OUMS-23	colon	colon adenocarcinoma	not available	male	not available
Sample 437	BHY	oral cavity	oral cavity squamous cell carcinoma	not available	not available	not available
Sample 438	HN	oral cavity	oral cavity squamous cell carcinoma	not available	not available	not available
Sample 439	BFTC-909	kidney	transitional cell carcinoma of kidney	64	male	not available
Sample 440	huH-1	liver	hepatocellular carcinoma	53	male	Japanese
Sample 441	PLC/PRF/5	liver	hepatocellular carcinoma	not available	not available	not available
Sample 442	ChaGo-K-1	lung	lung carcinoma	45	male	not available
Sample 443	HCC44	lung	non-small cell lung carcinoma	54	female	not available
Sample 444	NCI-H146	lung	small cell lung carcinoma	not available	male	Caucasian
Sample 445	NCI-H2110	lung	non-small cell lung carcinoma	not available	not available	not available
Sample 446	NCI-H2170	lung	squamous cell carcinoma	not available	male	not available
Sample 447	NCI-H446	lung	small cell lung carcinoma	61	male	Caucasian
Sample 448	SCLC-21H	lung	small cell lung carcinoma	46	male	Caucasian
Sample 449	COV318	ovary	ovarian carcinoma	not available	not available	not available
Sample 450	COV413B	ovary	ovarian carcinoma	not available	female	not available
Sample 451	Hs 294T	skin	melanoma	not available	not available	not available
Sample 452	SK23	skin	melanoma	not available	not available	not available
Sample 453	KATO III	stomach	gastric carcinoma	not available	not available	not available
Sample 454	SNU-620	stomach	gastric carcinoma	59	female	not available
Sample 455	SNU-719	stomach	gastric carcinoma	53	male	not available
Sample 456	BICR 22	tongue	tongue squamous cell carcinoma	not available	not available	not available
Sample 457	UM-UC-1	urinary bladder	urinary bladder transitional cell carcinoma	not available	not available	not available
Sample 458	UM-UC-3	urinary bladder	urinary bladder transitional cell carcinoma	not available	male	not available
Sample 459	Caki-1	kidney	renal clear cell adenocarcinoma	49	male	Caucasian
Sample 460	CAL 54	kidney	renal adenocarcinoma	not available	not available	not available
Sample 461	COV362	ovary	ovarian carcinoma	not available	not available	not available
Sample 462	Hs 895.T	skin	melanoma	48	female	Caucasian
Sample 463	SUM 52PE	breast	breast carcinoma	not available	not available	not available
Sample 464	NALM-6	blood	leukemia	not available	not available	not available
Sample 465	KELLY	brain	neuroblastoma	not available	not available	not available
Sample 466	SK-N-AS	brain	neuroblastoma	not available	not available	not available
Sample 467	SK-N-DZ	brain	neuroblastoma	2	female	Caucasian
Sample 468	MS751	cervix	cervical carcinoma	47	female	Caucasian
Sample 469	SNU-C1	colon	colon adenocarcinoma	71	male	not available
Sample 470	SNU-387	liver	hepatocellular carcinoma	not available	not available	not available
Sample 471	HCC193	lung	lung adenocarcinoma	71	female	Caucasian
Sample 472	HCC78	lung	lung adenocarcinoma	65	male	not available
Sample 473	LCLC-103H	lung	large cell lung carcinoma	61	male	Caucasian
Sample 474	NCI-H1581	lung	non-small cell lung carcinoma	44	male	Caucasian
Sample 475	PA-1	ovary	ovarian carcinoma	not available	not available	not available
Sample 476	A-375	skin	melanoma	not available	female	not available
Sample 477	HCC12	kidney	renal cell carcinoma	45	female	not available
Sample 478	HCC89	kidney	renal cell carcinoma	64	female	Caucasian
Sample 479	IMR-32	brain	neuroblastoma	1	male	Caucasian
Sample 480	HEp-2	cervix	cervical adenocarcinoma	not available	not available	not available
Sample 481	HT-29	colon	colon adenocarcinoma	not available	female	Caucasian
Sample 482	RKO-E6	colon	colon carcinoma	not available	not available	not available
Sample 483	SW 620	colon	colon adenocarcinoma	51	male	Caucasian
Sample 484	WiDr	colon	colon adenocarcinoma	not available	not available	not available
Sample 485	WM-115	skin	melanoma	58	female	not available
Sample 486	ATRFLOX	colon	colon carcinoma	not available	male	not available
Sample 487	COLO-783	skin	metastatic melanoma	48	female	not available
Sample 488	HCC2270	lung	lung adenocarcinoma	64	female	Caucasian
Sample 489	HCC2885	lung	non-small cell lung carcinoma	not available	not available	not available
Sample 490	NCI-H1915	lung	non-small cell lung carcinoma	61	female	Caucasian
Sample 491	HCC1482	uterus	uterine adenocarcinoma	62	female	Caucasian
Sample 492	LNCAP	prostate	prostate carcinoma	50	male	Caucasian
Sample 493	AN3 CA	uterus	uterine adenocarcinoma	55	female	Caucasian
Sample 494	COV644	ovary	ovarian carcinoma	not available	not available	not available
Sample 495	HCC630	ovary	ovarian carcinoma	32	female	Hispanic
Sample 496	NCI-H2023	lung	non-small cell lung carcinoma	26	male	Caucasian
Sample 497	LXF-289	lung	lung adenocarcinoma	63	male	not available
Sample 498	Hs 255.T	colon	colon adenocarcinoma	46	female	Caucasian
Sample 499	HCC1011	kidney	renal cell carcinoma	37	male	Hispanic
Sample 500	HCC1493	breast	breast adenocarcinoma	43	male	not available
Sample 501	KLE	uterus	uterine adenocarcinoma	64	female	Caucasian
Sample 502	HCC1319	kidney	renal cell carcinoma	68	male	Caucasian
Sample 503	LXFL529	lung	non-small cell lung carcinoma	not available	not available	not available
Sample 504	EB2	blood	malignant Burkitt's lymphoma	7	female	African
Sample 505	NCI-H2369	lung	mesothelioma	not available	not available	not available
Sample 506	NCI-H2595	lung	mesothelioma	not available	not available	not available
Sample 507	NCI-H28	pleura	mesothelioma	not available	not available	not available
Sample 508	NCI-H2373	lung	mesothelioma	not available	not available	not available
Sample 509	NCI-H2452	lung	mesothelioma	not available	not available	not available
Sample 510	NCI-H2461	lung	mesothelioma	not available	not available	not available
Sample 511	NCI-H209	lung	small cell lung carcinoma	not available	male	Caucasian
Sample 512	NCI-H1869	lung	non-small cell lung carcinoma	58	male	Caucasian
Sample 513	NCI-H1734	lung	non-small cell lung carcinoma	56	female	not available
Sample 514	NCI-H1623	lung	non-small cell lung carcinoma	58	male	Caucasian
Sample 515	HCC2302	lung	lung adenocarcinoma	not available	not available	not available
Sample 516	DU4475	breast	breast carcinoma	70	female	Caucasian
Sample 517	NCI-H889	lung	small cell lung carcinoma	not available	female	Caucasian
Sample 518	HEC-1-A	uterus	uterine adenocarcinoma	71	female	not available
Sample 519	SCC-15	tongue	tongue squamous cell carcinoma	not available	not available	not available
Sample 520	COV504	ovary	ovarian carcinoma	not available	not available	not available
Sample 521	NTERA-2	testis	testicular carcinoma	22	male	Caucasian
Sample 522	WM-266-4	skin	melanoma	58	female	not available
Sample 523	OV7	ovary	ovarian carcinoma	78	female	not available
Sample 524	HCC60	ovary	ovarian carcinoma	26	female	African
Sample 525	SCLC-22H	lung	small cell lung carcinoma	46	male	Caucasian
Sample 526	HCC1359	lung	large cell lung carcinoma	not available	not available	not available
Sample 527	DV-90	lung	lung adenocarcinoma	50	male	not available
Sample 528	EPLC-272H	lung	lung carcinoma	57	male	Caucasian
Sample 529	DMS 273	lung	small cell lung carcinoma	50	female	not available
Sample 530	SNU-475	liver	hepatocellular carcinoma	not available	not available	not available
Sample 531	CAL-12T	lung	non-small cell lung carcinoma	not available	male	not available
Sample 532	105KC	cartilage	chondrosarcoma	66	male	not available
Sample 533	LS1034	cecum	cecum carcinoma	54	not available	Caucasian
Sample 534	JHH-5	liver	hepatocellular carcinoma	50	male	not available
Sample 535	Hep G2	liver	hepatocellular carcinoma	15	male	Caucasian
Sample 536	RT-112	urinary bladder	urinary bladder transitional cell carcinoma	not available	female	not available
Sample 537	FaDu	nasal pharynx	nasopharyngeal squamous cell carcinoma	not available	not available	not available
Sample 538	HeLa	cervix	cervical adenocarcinoma	not available	female	African
Sample 539	C2BBe1	colon	colon adenocarcinoma	72	male	Caucasian
Sample 540	T98G	brain	glioblastoma	61	male	Caucasian
Sample 541	MT-3	breast	breast carcinoma	not available	not available	not available
Sample 542	NCI-H2347	lung	non-small cell lung carcinoma	54	female	Caucasian
Sample 543	NCI-H2803	lung	mesothelioma	not available	not available	not available
Sample 544	NCI-H2722	lung	mesothelioma	not available	not available	not available
Sample 545	NCI-H2804	lung	mesothelioma	not available	not available	not available
Sample 546	GR-M	skin	melanoma	36	male	Caucasian
Sample 547	JHH-4	liver	hepatocellular carcinoma	not available	not available	not available
Sample 548	NCI-H1930	lung	small cell lung carcinoma	41	male	Caucasian
Sample 549	NCI-H2171	lung	small cell lung carcinoma	50	male	Caucasian
Sample 550	NCI-H196	lung	small cell lung carcinoma	68	male	Caucasian
Sample 551	NCI-H820	lung	lung adenocarcinoma	not available	male	Caucasian
Sample 552	UKE-1	blood	leukemia	not available	not available	not available
Sample 553	BICR 78	oral cavity	oral cavity squamous cell carcinoma	not available	not available	not available
Sample 554	C32TG	skin	melanoma	53	male	Caucasian
Sample 555	SK-N-FI	brain	neuroblastoma	11	male	Caucasian
Sample 556	ACHN	kidney	renal adenocarcinoma	22	male	Caucasian
Sample 557	HCC1534	lung	lung adenocarcinoma	not available	not available	not available
Sample 558	NCI-H187	lung	small cell lung carcinoma	47	male	Caucasian
Sample 559	C-33 A	cervix	cervical carcinoma	not available	not available	not available
Sample 560	LOU-NH91	lung	squamous cell carcinoma	64	female	not available
Sample 561	NCI-H1651	lung	non-small cell lung carcinoma	71	male	not available
Sample 562	NCI-H1648	lung	lung adenocarcinoma	39	male	African
Sample 563	MOR	lung	lung adenocarcinoma	not available	not available	not available
Sample 564	NCI-H716	cecum	cecum adenocarcinoma	not available	male	Caucasian
Sample 565	YMB-1-E	breast	breast carcinoma	55	female	not available
Sample 566	DMS 79	lung	small cell lung carcinoma	65	not available	Caucasian
Sample 567	COR-L88	lung	small cell lung carcinoma	55	male	Caucasian
Sample 568	NCI-H810	lung	non-small cell lung carcinoma	51	male	African
Sample 569	G-402	kidney	renal leiomyoma	9	female	not available
Sample 570	PK-8	pancreas	pancreatic carcinoma	not available	not available	not available
Sample 571	G141	brain	glioma	not available	not available	not available
Sample 572	RPMI 2650	nasal septum	nasal septum squamous cell carcinoma	52	male	not available
Sample 573	M059J	brain	glioblastoma	33	male	not available
Sample 574	M059K	brain	glioblastoma	33	male	not available
Sample 575	COV413A	ovary	ovarian carcinoma	not available	female	not available
Sample 576	COR-L279	lung	small cell lung carcinoma	63	male	not available
Sample 577	COR-L47	lung	small cell lung carcinoma	67	male	Caucasian
Sample 578	CPC-N	lung	small cell lung carcinoma	not available	not available	not available
Sample 579	HCC366	lung	non-small cell lung carcinoma	80	female	not available
Sample 580	NCI-H1395	lung	lung adenocarcinoma	55	female	Caucasian
Sample 581	NCI-H345	lung	small cell lung carcinoma	64	male	Caucasian
Sample 582	COLO 857	skin	melanoma	43	male	not available
Sample 583	IGR-37	skin	melanoma	26	male	not available
Sample 584	SET-2	blood	acute myeloid leukemia	not available	not available	not available
Sample 585	HCC461	lung	lung adenocarcinoma	not available	not available	not available
Sample 586	NCI-H2810	lung	mesothelioma	not available	not available	not available
Sample 587	SW 527	breast	breast adenocarcinoma	not available	female	Caucasian
Sample 588	KMS-26	blood	multiple myeloma	not available	not available	not available
Sample 589	K-562	blood	chronic myelogenic leukemia	not available	not available	not available
Sample 590	JJ012	cartilage	chondrosarcoma	not available	not available	not available
Sample 591	COR-L26	lung	large cell lung carcinoma	not available	female	not available
Sample 592	HCC364	lung	lung adenocarcinoma	76	male	not available
Sample 593	LCLC-97TM1	lung	large cell lung carcinoma	44	male	Caucasian
Sample 594	NCI-H2135	lung	non-small cell lung carcinoma	not available	not available	not available
Sample 595	EFM-192C	breast	breast adenocarcinoma	46	female	Caucasian
Sample 596	NCI-H2052	pleura	mesothelioma	not available	not available	not available
Sample 597	C3A	liver	renal carcinoma	not available	not available	not available
Sample 598	COLO 853	skin	melanoma	43	male	not available
Sample 599	HMY-1	skin	melanoma	62	male	Japanese
Sample 600	JHH-1	liver	hepatocellular carcinoma	not available	not available	not available
Sample 601	KU812	blood	chronic myelogenous leukemia	not available	not available	not available
Sample 602	SK-N-SH	brain	neuroblastoma	4	female	not available
Sample 603	UMC-11	lung	lung carcinoid tumor	not available	not available	not available
Sample 604	RT4	urinary bladder	urinary bladder transitional cell carcinoma	63	male	Caucasian
Sample 605	MHH-NB-11	brain	neuroblastoma	4	male	Caucasian
Sample 606	COLO 794	skin	melanoma	14	male	not available
Sample 607	HCC1576	adrenal	unknown adrenal cancer	not available	not available	not available
Sample 608	COV434	ovary	granulosa cell tumor	not available	female	not available
Sample 609	NCI-H920	lung	non-small cell lung carcinoma	43	male	Caucasian
Sample 610	HGC-27	stomach	gastric carcinoma	not available	not available	not available
Sample 611	SNU-182	liver	hepatocellular carcinoma	not available	not available	not available
Sample 612	SNU-449	liver	hepatocellular carcinoma	not available	not available	not available
Sample 613	BEN	lung	lung carcinoma	71	male	not available
Sample 614	KHM-1B	blood	multiple myeloma	not available	not available	not available
Sample 615	COLO 699	lung	lung adenocarcinoma	57	female	not available
Sample 616	SK-MM-2	blood	leukemia	not available	not available	not available
Sample 617	SIG-M5	blood	acute monocytic leukemia	not available	not available	not available
Sample 618	HCC33	lung	small cell lung carcinoma	53	male	Caucasian
Sample 619	NCI-H847	lung	small cell lung carcinoma	63	male	Caucasian
Sample 620	Hs 38.T	ovary	ovarian teratoma	not available	female	not available
Sample 621	IM-95m	stomach	gastric adenocarcinoma	63	male	Japanese
Sample 622	GP2d	colon	colon adenocarcinoma	not available	not available	not available
Sample 623	GP5d	colon	colon adenocarcinoma	not available	not available	not available
Sample 624	Hs 675.T	colon	colon carcinoma	not available	male	Caucasian
Sample 625	HT-115	colon	colon carcinoma	not available	not available	not available
Sample 626	MKN-7	stomach	gastric tubular adenocarcinoma	39	male	not available
Sample 627	HL-60	blood	leukemia	not available	not available	not available
Sample 628	CaR-1	colon	colon adenocarcinoma	not available	not available	not available
Sample 629	CW-2	colon	colon carcinoma	45	female	Japanese
Sample 630	RCM-1	colon	colon adenocarcinoma	73	female	not available
Sample 631	DMS 454	lung	small cell lung carcinoma	not available	male	not available
Sample 632	DMS 53	lung	small cell lung carcinoma	54	male	Caucasian
Sample 633	NCI-H1092	lung	small cell lung carcinoma	67	male	Caucasian
Sample 634	NCI-H1882	lung	small cell lung carcinoma	59	male	Caucasian
Sample 635	NCI-H2081	lung	small cell lung carcinoma	59	female	Caucasian
Sample 636	NCI-H2172	lung	non-small cell lung carcinoma	not available	female	not available
Sample 637	NCI-H2196	lung	small cell lung carcinoma	67	male	Caucasian
Sample 638	NCI-H2198	lung	small cell lung carcinoma	67	male	Caucasian
Sample 639	NCI-H510A	lung	small cell lung carcinoma	56	male	Caucasian
Sample 640	SW 900	lung	non-small cell lung carcinoma	not available	male	Caucasian
Sample 641	A-498	kidney	renal adenocarcinoma	52	female	not available
Sample 642	COLO 792	skin	melanoma	62	male	not available
Sample 643	DEOC-1	skin	melanoma	59	male	Japanese
Sample 644	JL-1	pleura	mesothelioma	54	male	not available
Sample 645	Kasumi-1	blood	acute myeloid leukemia	not available	not available	not available
Sample 646	SK-MEL-3	skin	melanoma	42	female	Caucasian
Sample 647	SK-MEL-31	skin	melanoma	not available	female	not available
Sample 648	THP-1	blood	acute monocytic leukemia	1	male	not available
Sample 649	UACC-893	breast	breast ductal adenocarcinoma	57	female	Caucasian
Sample 650	CCRF-SB	blood	leukemia	not available	not available	not available
Sample 651	NCI-H2596	lung	mesothelioma	not available	not available	not available
Sample 652	NCI-H2795	lung	mesothelioma	not available	not available	not available
Sample 653	KYSE-140	esophagus	squamous cell carcinoma	50	male	Japanese
Sample 654	KYSE-520	esophagus	squamous cell carcinoma	58	female	Japanese
Sample 655	KYSE-70	esophagus	squamous cell carcinoma	77	male	Japanese
Sample 656	KYSE-150	esophagus	squamous cell carcinoma	49	female	Japanese
Sample 657	KYSE-180	esophagus	squamous cell carcinoma	53	male	Japanese
Sample 658	KYSE-270	esophagus	squamous cell carcinoma	79	male	Japanese
Sample 659	KYSE-30	esophagus	squamous cell carcinoma	64	male	Japanese
Sample 660	KYSE-450	esophagus	squamous cell carcinoma	59	male	Japanese
Sample 661	KYSE-510	esophagus	squamous cell carcinoma	67	female	Japanese
Sample 662	KURAMOCHI	ovary	ovarian carcinoma	not available	not available	not available
Sample 663	OVISE	ovary	ovarian clear cell adenocarcinoma	40	female	Japanese
Sample 664	OVTOKO	ovary	ovarian clear cell adenocarcinoma	78	female	Japanese
Sample 665	MCAS	ovary	ovarian adenocarcinoma	not available	not available	not available
Sample 666	COLO 680N	esophagus	squamous cell carcinoma	57	female	African
Sample 667	OVKATE	ovary	ovarian papillary serous adenocarcinoma	40	female	Japanese
Sample 668	OVSAHO	ovary	ovarian papillary serous adenocarcinoma	not available	not available	not available
Sample 669	RKN	ovary	ovarian leiomyosarcoma	45	female	Japanese
Sample 670	RMG-I	ovary	ovarian carcinoma	not available	not available	not available
Sample 671	RMUG-S	ovary	ovarian adenocarcinoma	62	female	Japanese
Sample 672	TYK-nu.CP-r	ovary	ovarian carcinoma	not available	not available	not available
Sample 673	TYK-nu	ovary	ovarian carcinoma	not available	not available	not available
Sample 674	OVMANA	ovary	ovarian clear cell adenocarcinoma	not available	not available	not available
Sample 675	Calu-1	lung	lung carcinoma	47	female	Caucasian
